#Body	Type	Model

1494	Equipment	H_Female_Necklace_Gold_Bead
1510	Equipment	H_Female_Necklace_Silver
1507	Equipment	H_Female_Necklace_Silver_Bead
1715	Equipment	H_Female_Pants_Jester
1431	Equipment	H_Female_Pants_Long
1693	Equipment	H_Female_Pants_Ninja
1430	Equipment	H_Female_Pants_Short
1498	Equipment	H_Female_Ring_Gold
1511	Equipment	H_Female_Ring_Silver
1469	Equipment	H_Female_Robe_CowlDown
1732	Equipment	H_Female_Robe_CowlUp
1731	Equipment	H_Female_Robe_Deathshroud
1987	Equipment	H_Female_Robe_GM
1490	Equipment	H_Female_Sash
1733	Equipment	H_Female_Shirt_1
1734	Equipment	H_Female_Shirt_2
1735	Equipment	H_Female_Shirt_5
1736	Equipment	H_Female_Shirt_6
1911	Equipment	H_Female_Shirt_Checkered
1913	Equipment	H_Female_Shirt_Doublet
1435	Equipment	H_Female_Shirt_Fancy
1912	Equipment	H_Female_Shirt_Jester
1691	Equipment	H_Female_Shirt_Ninja
1434	Equipment	H_Female_Shirt_Sleeveless
1910	Equipment	H_Female_Shirt_Surcoat
1909	Equipment	H_Female_Shirt_Tunic
1480	Equipment	H_Female_Shoes
1716	Equipment	H_Female_Shoes_Jester
1479	Equipment	H_Female_Shoes_Sandals
1449	Equipment	H_Female_Skirt_Long
1971	Equipment	H_Female_Skirt_Medium
1759	Equipment	H_Female_Cloak_Arcane
1760	Equipment	H_Female_Gloves_Arcane
1761	Equipment	H_Female_Robe_Arcane
1762	Equipment	H_Female_Boots_Arcane

##Carryables

#Body	Type	Model

584	Equipment	Weapon_daemon_sword
585	Equipment	Weapon_ettin_hammer
586	Equipment	Weapon_liche_staff
587	Equipment	Weapon_lizard_man_mace
588	Equipment	Weapon_lizard_man_spear
589	Equipment	Weapon_ogre_club
590	Equipment	Weapon_Ophidian_mage_staff
591	Equipment	Weapon_Ophidian_warrior_bardiche
592	Equipment	Weapon_orc_club
593	Equipment	Weapon_ratman_axe
594	Equipment	Weapon_ratman_sword
595	Equipment	Weapon_skeleton_axe
596	Equipment	Weapon_skeleton_scimitar
597	Equipment	Weapon_Terathen_mage_staff
744	Equipment	Weapon_Terathen_Avenger_mace
598	Equipment	Weapon_Terathen_Avenger_spear
599	Equipment	Weapon_troll_axe
600	Equipment	Weapon_troll_maul
601	Equipment	Weapon_frost_troll_club
602	Equipment	Weapon_orc_lord_battle_axe
603	Equipment	Weapon_orc_shaman_staff
604	Equipment	Weapon_skeleton_mage_staff
972	Equipment	Fishing_Rod
502	Equipment	Light_Candle_Lit
505	Equipment	Light_Candle_Unlit
500	Equipment	Light_Lantern_Lit
503	Equipment	Light_Lantern_Unlit
501	Equipment	Light_Torch_Lit
504	Equipment	Light_Torch_Unlit
577	Equipment	Shield_Bronze
579	Equipment	Shield_Buckler
993	Equipment	Shield_Chaos
581	Equipment	Shield_Heater
992	Equipment	Shield_Order
582	Equipment	Shield_Roman
576	Equipment	Shield_Round
578	Equipment	Shield_Wooden
580	Equipment	Shield_Wooden_Kite
985	Equipment	Spell_book_1
984	Equipment	Spell_book_2
668	Equipment	Staff_Magic_1
669	Equipment	Staff_Magic_2
670	Equipment	Staff_Magic_3
671	Equipment	Staff_Magic_4
980	Equipment	Wand_1
981	Equipment	Wand_2
982	Equipment	Wand_3
983	Equipment	Wand_4
653	Equipment	Weapon_Axe
611	Equipment	Weapon_Axe_2H
634	Equipment	Weapon_Axe_Double
614	Equipment	Weapon_Bardiche
615	Equipment	Weapon_Battle_Axe
617	Equipment	Weapon_Black_Staff
649	Equipment	Weapon_Bow
629	Equipment	Weapon_Butcher_Knife
619	Equipment	Weapon_Cleaver
620	Equipment	Weapon_Club
621	Equipment	Weapon_Crook
651	Equipment	Weapon_Crossbow
616	Equipment	Weapon_Crossbow_Heavy
623	Equipment	Weapon_Cutlass
622	Equipment	Weapon_Dagger
613	Equipment	Weapon_Executioner_Axe
628	Equipment	Weapon_Gnarled_Staff
624	Equipment	Weapon_Halberd
640	Equipment	Weapon_Hammer_Sledge
745	Equipment	Weapon_Hammer_Smyth
625	Equipment	Weapon_Hammer_Pick
654	Equipment	Weapon_Hatchet
661	Equipment	Weapon_Japanese_Longbow
626	Equipment	Weapon_Javelin
627	Equipment	Weapon_Katana
630	Equipment	Weapon_Kryss
612	Equipment	Weapon_Large_Battle_Axe
631	Equipment	Weapon_Mace
655	Equipment	Weapon_Magic_Sword_1
656	Equipment	Weapon_Magic_Sword_2
657	Equipment	Weapon_Magic_Sword_3
658	Equipment	Weapon_Magic_Sword_4
633	Equipment	Weapon_Maul
659	Equipment	Weapon_Naginata
660	Equipment	Weapon_No-Dachi
662	Equipment	Weapon_Pick
635	Equipment	Weapon_Pickaxe
636	Equipment	Weapon_Pitch_Fork
648	Equipment	Weapon_Quarter_Staff
637	Equipment	Weapon_Scimitar
638	Equipment	Weapon_Skinning_Knife
641	Equipment	Weapon_Spear
663	Equipment	Weapon_Spear_2
639	Equipment	Weapon_Spear_Short
664	Equipment	Weapon_Sword
618	Equipment	Weapon_Sword_Broad
665	Equipment	Weapon_Sword_Long
666	Equipment	Weapon_Sword_Short
643	Equipment	Weapon_Sword_Viking
644	Equipment	Weapon_War_Axe
645	Equipment	Weapon_War_Fork
646	Equipment	Weapon_War_Hammer
642	Equipment	Weapon_War_Mace

##Creatures

#Body	Type	Model

187	Animals	ridgeback_ridgeback
193	Animals	ridgeback_ridgeback_ethereal
188	Animals	ridgeback_savage
787	Monsters	ant_lion
157	Monsters	arachnids_spider_black_widow
173	Monsters	arachnids_spider_black_widow
11	Monsters	arachnids_spider_dread
19	Monsters	arachnids_spider_dread
20	Monsters	arachnids_spider_frost
28	Monsters	arachnids_spider_giant
28	Monsters	arachnids_spider_giant
28	Monsters	arachnids_spider_giant
779	Monsters	bogling
780	Monsters	bog_thing
232	Animals	bovines_bull_brown
233	Animals	bovines_bull_spotted
216	Animals	bovines_cow_brown
231	Animals	bovines_cow_spotted
211	Animals	bruins_bear_black
211	Animals	bruins_bear_black
167	Animals	bruins_bear_brown
212	Animals	bruins_bear_grizzly
212	Animals	bruins_bear_grizzly
213	Animals	bruins_bear_polar
213	Animals	bruins_bear_polar
217	Animals	canines_dog_hound
97	Animals	canines_hell_hound
98	Animals	canines_hell_hound
225	Animals	canines_wolf_timber
99	Animals	canines_wolf_dark
23	Animals	canines_wolf_dire
25	Animals	canines_wolf_grey
27	Animals	canines_wolf_grey
100	Animals	canines_wolf_silver
34	Animals	canines_wolf_white
37	Animals	canines_wolf_white
101	Monsters	centaurs_centaur
792	Monsters	chaos_demon
786	Monsters	chariot
756	Monsters	clockwork_overseer
757	Monsters	clockwork_minion
763	Monsters	clockwork_minion
75	Monsters	cyclops_cyclops
9	Monsters	daemons_daemon
10	Monsters	daemons_daemon
9	Monsters	daemons_daemon
9	Monsters	daemons_daemon
38	Monsters	daemons_daemon_black_gate
40	Monsters	daemons_daemon_elder
102	Monsters	daemons_daemon_exodus
43	Monsters	daemons_daemon_ice_fiend
774	Monsters	Dawn_Girl
237	Animals	deer_doe
237	Animals	deer_doe
234	Animals	deer_stag
234	Animals	deer_stag
151	Sea	dolphins_dolphin
103	Monsters	dragons_dragon_asian
12	Monsters	dragons_dragon_retro_grey
172	Monsters	dragons_dragon_retro_red
59	Monsters	dragons_dragon_retro_red
49	Monsters	dragons_wyrm_retro_white
180	Monsters	dragons_wyrm_retro_white
60	Monsters	dragons_dragon_retro_grey
61	Monsters	dragons_dragon_retro_red
105	Monsters	dragons_wyrm_ancient
46	Monsters	Mf_Dragon_Rust
106	Monsters	dragons_wyrm_shadow
104	Monsters	dragons_dragon_skeletal
62	Monsters	dragons_wyvern
14	Monsters	elementals_earth_elemental
14	Monsters	elementals_earth_elemental
107	Monsters	elementals_agapite_elemental
108	Monsters	elementals_bronze_elemental
109	Monsters	elementals_copper_elemental
110	Monsters	elementals_copper_dull_elemental
166	Monsters	elementals_gold_elemental
111	Monsters	elementals_iron_elemental
112	Monsters	elementals_valorite_elemental
113	Monsters	elementals_verite_elemental
158	Monsters	elementals_acid_elemental
13	Monsters	elementals_air_elemental
13	Monsters	elementals_air_elemental
13	Monsters	elementals_air_elemental
159	Monsters	elementals_blood_elemental
160	Monsters	elementals_blood_elemental
15	Monsters	elementals_fire_elemental
15	Monsters	elementals_fire_elemental
15	Monsters	elementals_fire_elemental
161	Monsters	elementals_ice_elemental
162	Monsters	elementals_poison_elemental
163	Monsters	elementals_snow_elemental
16	Monsters	elementals_water_elemental
16	Monsters	elementals_water_elemental
164	Monsters	ethereals_energy_vortex
165	Monsters	ethereals_wisp
58	Monsters	ethereals_wisp
58	Monsters	ethereals_wisp
200	Animals	equines_horse_dappled_brown
200	Animals	equines_horse_dappled_brown
190	Animals	equines_horse_firesteed
820	Animals	equines_horse_dappled_brown
291	Animals	equines_horse_dappled_brown_pack
226	Animals	equines_horse_dappled_grey
226	Animals	equines_horse_dappled_grey
226	Animals	equines_horse_dappled_grey
846	Animals	equines_horse_dappled_grey
204	Animals	equines_horse_dark_brown
204	Animals	equines_horse_dark_brown
824	Animals	equines_horse_dark_brown
228	Animals	equines_horse_tan
228	Animals	equines_horse_tan
848	Animals	equines_horse_tan
114	Animals	equines_horse_dark_steed
115	Animals	equines_horse_ethereal
116	Animals	equines_horse_nightmare
177	Animals	equines_horse_nightmare
178	Animals	equines_horse_nightmare
179	Animals	equines_horse_nightmare
117	Animals	equines_horse_silver_steed
118	Animals	equines_horse_war_brittanian
119	Animals	equines_horse_war_mage_council
120	Animals	equines_horse_war_minax
121	Animals	equines_horse_war_shadowlord
122	Animals	equines_unicorn
192	Animals	equines_unicorn_ethereal
123	Monsters	ethereal_warriors_male
175	Monsters	ethereal_warriors_male
2	Monsters	ettins_ettin
18	Monsters	ettins_ettin
63	Animals	felines_cougar
64	Animals	felines_leopard_snow
65	Animals	felines_leopard_snow
214	Animals	felines_panther
127	Animals	felines_predator_hellcat
128	Monsters	fey_race_pixie
176	Monsters	fey_race_pixie
781	Monsters	fire_ant_worker
782	Monsters	fire_ant_warrior
783	Monsters	fire_ant_queen
804	Monsters	fire_ant_matriarch
805	Monsters	black_ant_worker
806	Monsters	black_ant_warrior
807	Monsters	black_ant_queen
808	Monsters	black_ant_matriarch
8	Monsters	flails_corpser
47	Monsters	flails_reaper
66	Monsters	flails_swamp_tentacles
129	Monsters	flails_swamp_tentacles
80	Monsters	frogs_frog_giant
4	Monsters	gargoyles_gargoyle
130	Monsters	gargoyles_gargoyle_blistering
67	Monsters	gargoyles_gargoyle_stone
753	Monsters	gargoyles_gargoyle_slave
754	Monsters	gargoyles_gargoyle_enforcer
755	Monsters	gargoyles_gargoyle_guard
758	Monsters	gargoyles_gargoyle_shopkeeper
22	Monsters	gazers_gazer
68	Monsters	gazers_gazer_elder
69	Monsters	gazers_gazer_elder
131	Monsters	genies_efreet
791	Animals	giant_beetle
195	Animals	giant_beetle_ethereal
752	Monsters	golem_iron
29	Animals	gorillas_silverback
29	Animals	gorillas_silverback
30	Monsters	harpies_harpy
73	Monsters	harpies_harpy_stone
31	Monsters	headless_headless
776	Monsters	horde_demon
795	Monsters	horde_demon
796	Monsters	horde_demon
74	Monsters	imps_imp
168	Monsters	imps_shadow_fiend
764	Monsters	Juka_Warrior
765	Monsters	Juka_Mage
768	Monsters	Juggernaut
132	Animals	kirin_kirin
191	Animals	kirin_kirin_ethereal
998	Monsters	kirin_kirin
77	Monsters	krakens_kraken
24	Monsters	liche_liche_retro
24	Monsters	liche_liche_retro
78	Monsters	liche_liche_lord_retro
79	Monsters	liche_liche_lord_retro
82	Monsters	liche_liche_lord_retro
33	Monsters	lizard_race_lizardman
35	Monsters	lizard_race_lizardman
36	Monsters	lizard_race_lizardman
202	Animals	lizards_alligator_brown
202	Animals	lizards_alligator_brown
133	Animals	lizards_alligator_small
134	Animals	lizards_komodo_dragon
206	Monsters	lizards_lava_lizard
220	Animals	llamas_llama
828	Animals	llamas_llama
828	Animals	llamas_llama
828	Animals	llamas_llama
170	Animals	llamas_llama_ethereal
292	Animals	llamas_llama_pack
124	Monsters	mages_evil_mage
125	Monsters	mages_evil_mage_master
126	Monsters	mages_evil_mage_master
770	Monsters	Meer_Mage
771	Monsters	Meer_Warrior
797	Monsters	mf_dragon_fire
798	Monsters	mf_dragon_rust
39	Monsters	mongbats_mongbat
39	Monsters	mongbats_mongbat
39	Monsters	mongbats_mongbat
39	Monsters	mongbats_mongbat
766	Monsters	NPC_Kabur
767	Monsters	NPC_Blackthorn_Cohort
769	Monsters	NPC_Blackthorn
772	Monsters	NPC_Adranath
773	Monsters	NPC_Cpt_Dasha
1	Monsters	ogres_ogre
1	Monsters	ogres_ogre
83	Monsters	ogres_ogre_lord
84	Monsters	ogres_ogre_lord
135	Monsters	ogres_ogre_lord_arctic
136	Monsters	ophidians_ophidian_archmage
137	Monsters	ophidians_ophidian_knight
85	Monsters	ophidians_ophidian_mage
87	Monsters	ophidians_ophidian_queen
86	Monsters	ophidians_ophidian_warrior
17	Monsters	orcs_orc
41	Monsters	orcs_orc
7	Monsters	orcs_orc_captain
7	Monsters	orcs_orc_captain
7	Monsters	orcs_orc_captain
138	Monsters	orcs_orc_lord
139	Monsters	orcs_orc_lord
140	Monsters	orcs_orc_shaman
181	Monsters	orcs_orc_scout
182	Monsters	orcs_orc_bomber
189	Monsters	orcs_orc_lord
210	Animals	ostards_ostard_desert
825	Animals	ostards_ostard_desert
218	Animals	ostards_ostard_forest
826	Animals	ostards_ostard_forest
219	Animals	ostards_ostard_frenzied
827	Animals	ostards_ostard_frenzied
171	Animals	ostards_ostard_ethereal
141	Monsters	paladins_paladin
775	Monsters	plague_beast
290	Animals	porcines_boar
203	Animals	porcines_pig
203	Animals	porcines_pig
42	Monsters	rat_race_ratman
44	Monsters	rat_race_ratman
45	Monsters	rat_race_ratman
142	Monsters	rat_race_ratman
143	Monsters	rat_race_shaman
215	Monsters	rodents_rat_giant
215	Monsters	rodents_rat_giant
839	Animals	ridgeback_ridgeback
