# Teleporter X,Y,Z,Map,Dest X,Y,Z,Map,Back?
5572,634,17,Felucca,5521,674,27,Felucca,False
5573,628,42,Felucca,5503,569,51,Felucca,False
5573,629,42,Felucca,5503,570,51,Felucca,False
5573,630,42,Felucca,5503,571,51,Felucca,False
5588,632,30,Felucca,1296,1082,0,Felucca,True
5588,630,30,Felucca,1296,1080,0,Felucca,True
5588,631,30,Felucca,1296,1081,0,Felucca,True
5522,672,32,Felucca,5573,632,22,Felucca,False
5522,673,32,Felucca,5573,633,22,Felucca,False
5522,674,32,Felucca,5573,634,22,Felucca,False
5386,756,-8,Felucca,5408,859,47,Felucca,False
5386,757,-8,Felucca,5408,860,47,Felucca,False
5386,755,-8,Felucca,5408,858,47,Felucca,False
5409,860,52,Felucca,5387,757,-3,Felucca,False
5409,858,52,Felucca,5387,755,-3,Felucca,False
5409,859,52,Felucca,5387,756,-3,Felucca,False
5242,1007,0,Felucca,1175,2635,0,Felucca,True
5243,1007,0,Felucca,1176,2635,0,Felucca,True
5244,1007,0,Felucca,1177,2635,0,Felucca,True
5142,797,22,Felucca,5129,908,-23,Felucca,False
5143,797,22,Felucca,5130,908,-23,Felucca,False
5144,797,22,Felucca,5131,908,-23,Felucca,False
5145,797,22,Felucca,5132,908,-23,Felucca,False
5153,808,-25,Felucca,5134,984,17,Felucca,False
5153,809,-25,Felucca,5134,985,17,Felucca,False
5153,810,-25,Felucca,5134,986,17,Felucca,False
5153,811,-25,Felucca,5134,987,17,Felucca,False
5129,909,-28,Felucca,5142,798,17,Felucca,False
5130,909,-28,Felucca,5143,798,17,Felucca,False
5131,909,-28,Felucca,5144,798,17,Felucca,False
5132,909,-28,Felucca,5145,798,17,Felucca,False
5133,984,22,Felucca,5152,808,-19,Felucca,False
5133,985,22,Felucca,5152,809,-19,Felucca,False
5133,986,22,Felucca,5152,810,-19,Felucca,False
5133,987,22,Felucca,5152,811,-19,Felucca,False
2603,2121,-20,Felucca,2605,2130,8,Felucca,False
2603,2120,-20,Felucca,2605,2130,8,Felucca,False
2669,2071,-20,Felucca,2666,2099,3,Felucca,False
2669,2072,-20,Felucca,2666,2099,3,Felucca,False
2669,2073,-20,Felucca,2666,2099,3,Felucca,False
2676,2241,-18,Felucca,2691,2234,2,Felucca,False
2676,2242,-18,Felucca,2691,2234,2,Felucca,False
2758,2092,-20,Felucca,2756,2097,38,Felucca,False
2759,2092,-20,Felucca,2756,2097,38,Felucca,False
2685,2063,39,Felucca,2685,2063,-20,Felucca,False
5217,18,15,Felucca,5204,74,17,Felucca,False
5200,71,17,Felucca,5211,22,15,Felucca,False
1997,81,7,Felucca,5881,242,0,Felucca,False
5705,146,-45,Felucca,5705,305,7,Felucca,False
5705,147,-45,Felucca,5705,306,7,Felucca,False
5874,146,27,Felucca,5208,2323,31,Felucca,False
5875,146,27,Felucca,5208,2322,32,Felucca,False
5876,146,27,Felucca,5208,2322,32,Felucca,False
5877,146,27,Felucca,5208,2322,32,Felucca,False
2399,198,0,Felucca,5753,436,79,Felucca,False
2400,198,0,Felucca,5754,436,80,Felucca,False
5191,152,0,Felucca,1367,891,0,Felucca,False
5849,239,-25,Felucca,5831,324,27,Felucca,False
5850,239,-25,Felucca,5832,324,26,Felucca,False
5851,239,-25,Felucca,5833,324,28,Felucca,False
5852,239,-25,Felucca,5834,324,27,Felucca,False
5853,239,-23,Felucca,5835,324,27,Felucca,False
5882,241,0,Felucca,1998,81,5,Felucca,False
5882,242,0,Felucca,1998,81,5,Felucca,False
5882,243,0,Felucca,1998,81,5,Felucca,False
5706,305,12,Felucca,5705,146,-45,Felucca,False
5706,306,12,Felucca,5705,147,-45,Felucca,False
5748,362,2,Felucca,313,786,-24,Felucca,False
5749,362,0,Felucca,313,786,-24,Felucca,False
5750,362,3,Felucca,314,786,-24,Felucca,False
5753,324,21,Felucca,5670,2391,40,Felucca,False
5831,323,34,Felucca,5849,238,-25,Felucca,False
5832,323,34,Felucca,5850,238,-25,Felucca,False
5833,323,33,Felucca,5851,238,-25,Felucca,False
5834,323,33,Felucca,5852,238,-25,Felucca,False
5835,323,33,Felucca,5853,238,-23,Felucca,False
5658,423,8,Felucca,5697,3659,2,Felucca,False
5686,385,2,Felucca,2777,894,-23,Felucca,False
5686,386,2,Felucca,2777,894,-23,Felucca,False
5686,387,2,Felucca,2777,895,-23,Felucca,False
5731,445,-18,Felucca,6087,3676,18,Felucca,False
5753,437,78,Felucca,2400,199,0,Felucca,False
5850,432,0,Felucca,5127,3143,97,Felucca,False
5850,433,-2,Felucca,5127,3143,97,Felucca,False
5850,434,-1,Felucca,5127,3143,97,Felucca,False
5850,431,2,Felucca,5127,3143,97,Felucca,False
5826,465,-1,Felucca,1987,2063,-40,Felucca,False
5827,465,-1,Felucca,1988,2063,-40,Felucca,False
5828,465,0,Felucca,1989,2063,-40,Felucca,False
313,786,-24,Felucca,5748,361,2,Felucca,False
314,786,-24,Felucca,5749,361,2,Felucca,False
2776,895,-23,Felucca,5685,387,2,Felucca,False
4540,898,32,Felucca,4442,1122,5,Felucca,False
4300,968,5,Felucca,4442,1122,5,Felucca,False
4436,1107,5,Felucca,4300,992,5,Felucca,False
4443,1137,5,Felucca,4487,1475,5,Felucca,False
4449,1107,5,Felucca,4539,890,28,Felucca,False
4449,1115,5,Felucca,4671,1135,10,Felucca,False
4663,1134,13,Felucca,4442,1122,5,Felucca,False
5701,1320,16,Felucca,5786,1336,-8,Felucca,False
5702,1320,16,Felucca,5787,1336,-8,Felucca,False
5703,1320,16,Felucca,5788,1336,-8,Felucca,False
5786,1335,-13,Felucca,5701,1319,13,Felucca,False
5787,1335,-13,Felucca,5702,1319,13,Felucca,False
5788,1335,-13,Felucca,5703,1319,13,Felucca,False
6005,1380,1,Felucca,5151,4063,37,Felucca,False
6005,1378,0,Felucca,5151,4062,37,Felucca,False
6005,1379,2,Felucca,5151,4062,37,Felucca,False
6025,1344,-26,Felucca,5137,3664,27,Felucca,False
6025,1345,-26,Felucca,5137,3664,27,Felucca,False
6025,1346,-26,Felucca,5137,3665,31,Felucca,False
5687,1424,38,Felucca,2923,3406,8,Felucca,False
5792,1416,41,Felucca,5758,2908,15,Felucca,False
5792,1417,41,Felucca,5758,2909,15,Felucca,False
5792,1415,41,Felucca,5758,2907,15,Felucca,False
5899,1411,43,Felucca,1630,3320,0,Felucca,False
5900,1411,42,Felucca,1630,3320,0,Felucca,False
5918,1412,-29,Felucca,5961,1409,59,Felucca,False
5918,1410,-29,Felucca,5961,1408,59,Felucca,False
5918,1411,-29,Felucca,5961,1408,59,Felucca,False
5961,1408,59,Felucca,5918,1411,-29,Felucca,False
5961,1409,59,Felucca,5918,1412,-29,Felucca,False
6125,1411,15,Felucca,6075,3332,4,Felucca,False
6126,1411,15,Felucca,6075,3332,4,Felucca,False
6127,1411,15,Felucca,6075,3332,4,Felucca,False
6137,1409,2,Felucca,6140,1432,4,Felucca,False
6138,1409,2,Felucca,6140,1432,4,Felucca,False
6140,1431,4,Felucca,6137,1408,2,Felucca,False
4496,1475,15,Felucca,4442,1122,5,Felucca,False
6031,1501,42,Felucca,1491,1642,24,Felucca,False
6031,1499,42,Felucca,1491,1640,24,Felucca,False
1491,1640,24,Felucca,6032,1499,31,Felucca,False
1491,1642,24,Felucca,6032,1501,31,Felucca,False
5340,1599,40,Felucca,5426,3122,-74,Felucca,False
5341,1599,40,Felucca,5426,3122,-74,Felucca,False
1987,2062,-40,Felucca,5826,464,0,Felucca,False
1988,2062,-40,Felucca,5827,464,-1,Felucca,False
1989,2062,-40,Felucca,5828,464,-1,Felucca,False
5203,2327,27,Felucca,5876,147,25,Felucca,False
5207,2322,27,Felucca,5877,147,25,Felucca,False
5207,2323,26,Felucca,5876,147,25,Felucca,False
5670,2391,40,Felucca,5753,325,10,Felucca,False
5974,2697,35,Felucca,2985,2890,35,Felucca,False
5267,2757,35,Felucca,424,3283,35,Felucca,False
5757,2908,14,Felucca,5791,1416,38,Felucca,False
5757,2909,15,Felucca,5791,1417,40,Felucca,False
5757,2907,15,Felucca,5791,1415,38,Felucca,False
1653,2963,0,Felucca,1677,2987,0,Felucca,False
1677,2987,0,Felucca,1675,2987,20,Felucca,False
5426,3123,-80,Felucca,5341,1602,0,Felucca,False
5126,3143,99,Felucca,5849,432,1,Felucca,False
424,3283,35,Felucca,5267,2757,35,Felucca,False
1629,3320,0,Felucca,5899,1411,43,Felucca,False
6075,3332,4,Felucca,6126,1410,15,Felucca,False
2923,3405,6,Felucca,5687,1423,39,Felucca,False
1142,3621,5,Felucca,1414,3828,5,Felucca,False
5137,3664,27,Felucca,6025,1344,-26,Felucca,False
5137,3665,31,Felucca,6025,1345,-26,Felucca,False
5697,3660,-5,Felucca,5658,424,0,Felucca,False
6086,3676,16,Felucca,5731,446,-16,Felucca,False
1409,3824,5,Felucca,1124,3623,5,Felucca,False
1419,3832,5,Felucca,1466,4015,5,Felucca,False
1406,3996,5,Felucca,1414,3828,5,Felucca,False
5150,4062,38,Felucca,6005,1378,0,Felucca,False
5150,4063,38,Felucca,6005,1380,1,Felucca,False
5906,4069,26,Felucca,2494,3576,5,Felucca,True
2985,2890,35,Felucca,5974,2697,35,Felucca,False
6172,21,0,Felucca,765,1645,0,Felucca,False
6172,22,0,Felucca,765,1646,0,Felucca,False
6172,23,0,Felucca,765,1647,0,Felucca,False
766,1645,0,Felucca,6174,21,0,Felucca,False
766,1646,0,Felucca,6174,22,0,Felucca,False
766,1647,0,Felucca,6174,23,0,Felucca,False
6173,176,-10,Felucca,6233,15,-10,Felucca,False
6174,176,-10,Felucca,6234,15,-10,Felucca,False
6175,176,-10,Felucca,6235,15,-10,Felucca,False
6176,176,-10,Felucca,6236,15,-10,Felucca,False
6177,176,-10,Felucca,6237,15,-10,Felucca,False
6178,176,-10,Felucca,6238,15,-10,Felucca,False
6179,176,-10,Felucca,6239,15,-10,Felucca,False
6233,14,-10,Felucca,6172,174,-10,Felucca,False
6234,14,-10,Felucca,6173,174,-10,Felucca,False
6235,14,-10,Felucca,6174,174,-10,Felucca,False
6236,14,-10,Felucca,6175,174,-10,Felucca,False
6237,14,-10,Felucca,6176,174,-10,Felucca,False
6238,14,-10,Felucca,6177,174,-10,Felucca,False
6239,14,-10,Felucca,6177,174,-10,Felucca,False
6240,14,-10,Felucca,6178,174,-10,Felucca,False
6256,97,-4,Felucca,6257,95,-10,Felucca,False
6260,97,-4,Felucca,6260,95,-10,Felucca,False
6263,97,-4,Felucca,6262,95,-10,Felucca,False
6269,97,-4,Felucca,6269,95,-10,Felucca,False
6273,97,-4,Felucca,6272,95,-10,Felucca,False
6262,95,-10,Felucca,6262,99,-10,Felucca,False
6159,130,0,Felucca,6317,63,-20,Felucca,False
6164,73,0,Felucca,6320,22,-20,Felucca,False
6161,163,-10,Felucca,6321,106,-20,Felucca,False
6276,40,-10,Felucca,6374,124,-20,Felucca,False
6211,106,0,Felucca,6355,34,-20,Felucca,False
6316,62,-5,Felucca,6160,131,0,Felucca,False
6319,19,-20,Felucca,6165,74,0,Felucca,False
6356,32,-9,Felucca,6210,105,0,Felucca,False
6374,125,-20,Felucca,6277,41,-10,Felucca,False
6373,49,-20,Felucca,801,1682,0,Felucca,False
6374,49,-20,Felucca,801,1682,0,Felucca,False
6375,49,-20,Felucca,801,1682,0,Felucca,False
6376,49,-20,Felucca,801,1682,0,Felucca,False
6377,49,-20,Felucca,801,1682,0,Felucca,False
1714,2996,0,Felucca,6308,892,0,Felucca,False
1714,2997,0,Felucca,6308,892,0,Felucca,False
6310,890,0,Felucca,1716,2997,0,Felucca,False
6310,891,0,Felucca,1716,2997,0,Felucca,False
6310,892,0,Felucca,1716,2997,0,Felucca,False
6310,893,0,Felucca,1716,2997,0,Felucca,False
512,1559,0,Trammel,5394,127,0,Trammel,True
513,1559,0,Trammel,5395,127,0,Trammel,True
514,1559,0,Trammel,5396,127,0,Trammel,True
5490,19,-25,Trammel,5514,10,5,Trammel,True
5875,19,-5,Trammel,5507,162,5,Trammel,True
5604,102,5,Trammel,5514,147,25,Trammel,True
5513,176,5,Trammel,5540,187,0,Trammel,False
5538,170,5,Trammel,5517,176,0,Trammel,False
4721,3813,0,Trammel,5904,16,64,Trammel,True
4722,3813,0,Trammel,5905,16,64,Trammel,True
4723,3813,0,Trammel,5906,16,64,Trammel,True
6040,192,12,Trammel,6059,88,24,Trammel,True
6040,193,12,Trammel,6059,89,24,Trammel,True
6040,194,12,Trammel,6059,90,24,Trammel,True
5920,168,16,Trammel,6083,144,-20,Trammel,False
5920,169,16,Trammel,6083,145,-20,Trammel,False
5920,170,16,Trammel,6083,146,-20,Trammel,False
6083,144,-20,Trammel,5920,168,22,Trammel,False
6083,145,-20,Trammel,5920,169,22,Trammel,False
6083,146,-20,Trammel,5920,170,22,Trammel,False
5972,168,0,Trammel,5905,100,0,Trammel,False
5906,96,0,Trammel,5977,169,0,Trammel,False
2498,916,0,Trammel,5455,1864,0,Trammel,True
2499,916,0,Trammel,5456,1864,0,Trammel,True
2500,916,0,Trammel,5457,1864,0,Trammel,True
2384,836,0,Trammel,5615,1996,0,Trammel,True
2384,837,0,Trammel,5615,1997,0,Trammel,True
2384,838,0,Trammel,5615,1998,0,Trammel,True
2420,883,0,Trammel,5392,1959,0,Trammel,True
2421,883,0,Trammel,5393,1959,0,Trammel,True
2422,883,0,Trammel,5394,1959,0,Trammel,True
2455,858,0,Trammel,5388,2027,0,Trammel,True
2456,858,0,Trammel,5389,2027,0,Trammel,True
2457,858,0,Trammel,5390,2027,0,Trammel,True
2544,850,0,Trammel,5578,1927,0,Trammel,True
2545,850,0,Trammel,5579,1927,0,Trammel,True
2546,850,0,Trammel,5580,1927,0,Trammel,True
5551,1805,12,Trammel,5556,1825,-3,Trammel,False
5552,1805,12,Trammel,5557,1825,-3,Trammel,False
5553,1805,12,Trammel,5557,1825,-3,Trammel,False
5556,1826,-10,Trammel,5551,1806,7,Trammel,False
5557,1826,-10,Trammel,5552,1806,7,Trammel,False
5466,1804,12,Trammel,5593,1840,-3,Trammel,False
5466,1805,12,Trammel,5593,1841,-3,Trammel,False
5466,1806,12,Trammel,5593,1842,-3,Trammel,False
5594,1840,-8,Trammel,5467,1804,7,Trammel,False
5594,1841,-8,Trammel,5467,1805,7,Trammel,False
5824,631,5,Trammel,2041,215,14,Trammel,True
5825,631,5,Trammel,2042,215,14,Trammel,True
5825,631,5,Trammel,2043,215,14,Trammel,True
5698,662,0,Trammel,5793,527,10,Trammel,False
4110,430,5,Trammel,5187,639,0,Trammel,False
4111,430,5,Trammel,5188,639,0,Trammel,False
4112,430,5,Trammel,5189,639,0,Trammel,False
5187,639,0,Trammel,4110,430,5,Trammel,False
5188,639,0,Trammel,4111,430,5,Trammel,False
5189,639,0,Trammel,4112,430,5,Trammel,False
5216,586,-13,Trammel,5304,533,2,Trammel,False
5217,586,-13,Trammel,5305,533,2,Trammel,False
5218,586,-13,Trammel,5306,533,2,Trammel,False
5304,532,7,Trammel,5216,585,-8,Trammel,False
5305,532,7,Trammel,5217,585,-8,Trammel,False
5306,532,7,Trammel,5218,585,-8,Trammel,False
5218,761,-28,Trammel,5305,651,7,Trammel,False
5219,761,-28,Trammel,5306,651,7,Trammel,False
5305,650,12,Trammel,5218,760,-23,Trammel,False
5306,650,12,Trammel,5219,760,-23,Trammel,False
5346,578,5,Trammel,5137,649,5,Trammel,True
5186,639,0,Trammel,4110,430,5,Trammel,False
5504,569,46,Trammel,5574,628,37,Trammel,False
5504,570,46,Trammel,5574,629,37,Trammel,False
5504,571,46,Trammel,5574,630,37,Trammel,False
5572,632,17,Trammel,5521,672,27,Trammel,False
5572,633,17,Trammel,5521,673,27,Trammel,False
5572,634,17,Trammel,5521,674,27,Trammel,False
5573,628,42,Trammel,5503,569,51,Trammel,False
5573,629,42,Trammel,5503,570,51,Trammel,False
5573,630,42,Trammel,5503,571,51,Trammel,False
5588,632,30,Trammel,1296,1082,0,Trammel,True
5588,630,30,Trammel,1296,1080,0,Trammel,True
5588,631,30,Trammel,1296,1081,0,Trammel,True
5522,672,32,Trammel,5573,632,22,Trammel,False
5522,673,32,Trammel,5573,633,22,Trammel,False
5522,674,32,Trammel,5573,634,22,Trammel,False
5386,756,-8,Trammel,5408,859,47,Trammel,False
5386,757,-8,Trammel,5408,860,47,Trammel,False
5386,755,-8,Trammel,5408,858,47,Trammel,False
5242,1007,0,Trammel,1175,2635,0,Trammel,True
5243,1007,0,Trammel,1176,2635,0,Trammel,True
5244,1007,0,Trammel,1177,2635,0,Trammel,True
5142,797,22,Trammel,5129,908,-23,Trammel,False
5143,797,22,Trammel,5130,908,-23,Trammel,False
5144,797,22,Trammel,5131,908,-23,Trammel,False
5145,797,22,Trammel,5132,908,-23,Trammel,False
5153,808,-25,Trammel,5134,984,17,Trammel,False
5153,809,-25,Trammel,5134,985,17,Trammel,False
5153,810,-25,Trammel,5134,986,17,Trammel,False
5153,811,-25,Trammel,5134,987,17,Trammel,False
5129,909,-28,Trammel,5142,798,17,Trammel,False
5130,909,-28,Trammel,5143,798,17,Trammel,False
5131,909,-28,Trammel,5144,798,17,Trammel,False
5132,909,-28,Trammel,5145,798,17,Trammel,False
5133,984,22,Trammel,5152,808,-19,Trammel,False
5133,985,22,Trammel,5152,809,-19,Trammel,False
5133,986,22,Trammel,5152,810,-19,Trammel,False
5133,987,22,Trammel,5152,811,-19,Trammel,False
2603,2121,-20,Trammel,2605,2130,8,Trammel,False
2603,2120,-20,Trammel,2605,2130,8,Trammel,False
2669,2071,-20,Trammel,2666,2099,3,Trammel,False
2669,2072,-20,Trammel,2666,2099,3,Trammel,False
2669,2073,-20,Trammel,2666,2099,3,Trammel,False
2676,2241,-18,Trammel,2691,2234,2,Trammel,False
2676,2242,-18,Trammel,2691,2234,2,Trammel,False
2758,2092,-20,Trammel,2756,2097,38,Trammel,False
2759,2092,-20,Trammel,2756,2097,38,Trammel,False
2685,2063,39,Trammel,2685,2063,-20,Trammel,False
5217,18,15,Trammel,5204,74,17,Trammel,False
5200,71,17,Trammel,5211,22,15,Trammel,False
1997,81,7,Trammel,5881,242,0,Trammel,False
5705,146,-45,Trammel,5705,305,7,Trammel,False
5705,147,-45,Trammel,5705,306,7,Trammel,False
5874,146,27,Trammel,5208,2323,31,Trammel,False
5875,146,27,Trammel,5208,2322,32,Trammel,False
5876,146,27,Trammel,5208,2322,32,Trammel,False
5877,146,27,Trammel,5208,2322,32,Trammel,False
2399,198,0,Trammel,5753,436,79,Trammel,False
2400,198,0,Trammel,5754,436,80,Trammel,False
5191,152,0,Trammel,1367,891,0,Trammel,False
5849,239,-25,Trammel,5831,324,27,Trammel,False
5850,239,-25,Trammel,5832,324,26,Trammel,False
5851,239,-25,Trammel,5833,324,28,Trammel,False
5852,239,-25,Trammel,5834,324,27,Trammel,False
5853,239,-23,Trammel,5835,324,27,Trammel,False
5882,241,0,Trammel,1998,81,5,Trammel,False
5882,242,0,Trammel,1998,81,5,Trammel,False
5882,243,0,Trammel,1998,81,5,Trammel,False
5706,305,12,Trammel,5705,146,-45,Trammel,False
5706,306,12,Trammel,5705,147,-45,Trammel,False
5748,362,2,Trammel,313,786,-24,Trammel,False
5749,362,0,Trammel,313,786,-24,Trammel,False
5750,362,3,Trammel,314,786,-24,Trammel,False
5753,324,21,Trammel,5670,2391,40,Trammel,False
5831,323,34,Trammel,5849,238,-25,Trammel,False
5832,323,34,Trammel,5850,238,-25,Trammel,False
5833,323,33,Trammel,5851,238,-25,Trammel,False
5834,323,33,Trammel,5852,238,-25,Trammel,False
5835,323,33,Trammel,5853,238,-23,Trammel,False
5658,423,8,Trammel,5697,3659,2,Trammel,False
5686,385,2,Trammel,2777,894,-23,Trammel,False
5686,386,2,Trammel,2777,894,-23,Trammel,False
5686,387,2,Trammel,2777,895,-23,Trammel,False
5731,445,-18,Trammel,6087,3676,18,Trammel,False
5753,437,78,Trammel,2400,199,0,Trammel,False
5850,432,0,Trammel,5127,3143,97,Trammel,False
5850,433,-2,Trammel,5127,3143,97,Trammel,False
5850,434,-1,Trammel,5127,3143,97,Trammel,False
5850,431,2,Trammel,5127,3143,97,Trammel,False
5826,465,-1,Trammel,1987,2063,-40,Trammel,False
5827,465,-1,Trammel,1988,2063,-40,Trammel,False
5828,465,0,Trammel,1989,2063,-40,Trammel,False
313,786,-24,Trammel,5748,361,2,Trammel,False
314,786,-24,Trammel,5749,361,2,Trammel,False
2776,895,-23,Trammel,5685,387,2,Trammel,False
4540,898,32,Trammel,4442,1122,5,Trammel,False
4300,968,5,Trammel,4442,1122,5,Trammel,False
4436,1107,5,Trammel,4300,992,5,Trammel,False
4443,1137,5,Trammel,4487,1475,5,Trammel,False
4449,1107,5,Trammel,4539,890,28,Trammel,False
4449,1115,5,Trammel,4671,1135,10,Trammel,False
4663,1134,13,Trammel,4442,1122,5,Trammel,False
5701,1320,16,Trammel,5786,1336,-8,Trammel,False
5702,1320,16,Trammel,5787,1336,-8,Trammel,False
5703,1320,16,Trammel,5788,1336,-8,Trammel,False
5786,1335,-13,Trammel,5701,1319,13,Trammel,False
5787,1335,-13,Trammel,5702,1319,13,Trammel,False
5788,1335,-13,Trammel,5703,1319,13,Trammel,False
6005,1380,1,Trammel,5151,4063,37,Trammel,False
6005,1378,0,Trammel,5151,4062,37,Trammel,False
6005,1379,2,Trammel,5151,4062,37,Trammel,False
6025,1344,-26,Trammel,5137,3664,27,Trammel,False
6025,1345,-26,Trammel,5137,3664,27,Trammel,False
6025,1346,-26,Trammel,5137,3665,31,Trammel,False
5687,1424,38,Trammel,2923,3406,8,Trammel,False
5792,1416,41,Trammel,5758,2908,15,Trammel,False
5792,1417,41,Trammel,5758,2909,15,Trammel,False
5792,1415,41,Trammel,5758,2907,15,Trammel,False
5899,1411,43,Trammel,1630,3320,0,Trammel,False
5900,1411,42,Trammel,1630,3320,0,Trammel,False
5918,1412,-29,Trammel,5961,1409,59,Trammel,False
5918,1410,-29,Trammel,5961,1408,59,Trammel,False
5918,1411,-29,Trammel,5961,1408,59,Trammel,False
5961,1408,59,Trammel,5918,1411,-29,Trammel,False
5961,1409,59,Trammel,5918,1412,-29,Trammel,False
6125,1411,15,Trammel,6075,3332,4,Trammel,False
6126,1411,15,Trammel,6075,3332,4,Trammel,False
6127,1411,15,Trammel,6075,3332,4,Trammel,False
6137,1409,2,Trammel,6140,1432,4,Trammel,False
6138,1409,2,Trammel,6140,1432,4,Trammel,False
6140,1431,4,Trammel,6137,1408,2,Trammel,False
4496,1475,15,Trammel,4442,1122,5,Trammel,False
6031,1501,42,Trammel,1491,1642,24,Trammel,False
6031,1499,42,Trammel,1491,1640,24,Trammel,False
1491,1640,24,Trammel,6032,1499,31,Trammel,False
1491,1642,24,Trammel,6032,1501,31,Trammel,False
5340,1599,40,Trammel,5426,3122,-74,Trammel,False
5341,1599,40,Trammel,5426,3122,-74,Trammel,False
1987,2062,-40,Trammel,5826,464,0,Trammel,False
1988,2062,-40,Trammel,5827,464,-1,Trammel,False
1989,2062,-40,Trammel,5828,464,-1,Trammel,False
5203,2327,27,Trammel,5876,147,25,Trammel,False
5207,2322,27,Trammel,5877,147,25,Trammel,False
5207,2323,26,Trammel,5876,147,25,Trammel,False
5670,2391,40,Trammel,5753,325,10,Trammel,False
5974,2697,35,Trammel,2985,2890,35,Trammel,False
5267,2757,35,Trammel,424,3283,35,Trammel,False
5757,2908,14,Trammel,5791,1416,38,Trammel,False
5757,2909,15,Trammel,5791,1417,40,Trammel,False
5757,2907,15,Trammel,5791,1415,38,Trammel,False
1653,2963,0,Trammel,1677,2987,0,Trammel,False
1677,2987,0,Trammel,1675,2987,20,Trammel,False
5426,3123,-80,Trammel,5341,1602,0,Trammel,False
