int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
27	0	9287	9288	9289	9290	9291	9292	0	0	9293	9294	9295	9296	9297	9298	0	64	Wood Floor 2
28	0	10592	10593	10594	10595	10596	10598	0	0	10599	10600	10601	10602	10603	10604	0	64	Wood Floor 3
29	0	10605	10606	10607	10608	10609	10610	0	0	10611	10612	10613	10614	10615	10597	0	64	Wood Floor 4
30	0	10018	10019	10020	10021	10022	10023	0	0	10024	10025	10026	10027	10028	10029	0	64	Wood Floor 5
31	0	10030	10031	10032	10033	10034	10035	0	0	10036	10037	10038	10039	10040	10041	0	64	Wood Floor 6
32	0	10042	10043	10044	10045	10046	10047	0	0	10048	10049	10050	10051	10052	10053	0	64	Wood Floor 7
33	0	10054	10055	10056	10057	10058	10059	0	0	10060	10061	10062	10063	10064	10065	0	64	Wood Floor 8
34	0	10616	10617	10618	10619	10620	10621	0	0	10622	10623	10624	10625	10626	10627	0	64	Wood Floor 9
35	0	10628	10629	10630	10631	10632	10633	0	0	10634	10635	10636	10637	10638	10639	0	64	Wood Floor 10
36	0	0	11189	11190	11191	11192	0	0	0	0	0	0	0	0	0	0	128	Diagonal Floor
37	0	0	11215	11500	11501	11502	0	0	0	0	0	0	0	0	0	0	128	Parka Floor
38	0	0	11576	11577	11578	11579	0	0	0	0	0	0	0	0	0	0	128	Wormwood Floor
39	0	0	11723	11724	11725	11726	0	0	0	0	0	0	0	0	0	0	128	Deca Floor
40	0	0	13746	13747	13748	13749	13750	13751	13752	13753	13754	13755	13756	13757	0	0	512	Crystal Floor
41	0	0	0	13850	13851	13852	13853	13854	13855	13856	13857	13858	0	0	0	0	512	Shadow Floor
42	17196	17197	17192	17193	17194	17195	17206	17207	17208	17209	17210	17211	0	0	0	0	65536	Gargish Floor 1
43	17198	17199	17200	17201	17202	17203	17204	17205	0	0	0	0	0	0	0	0	65536	Gargish Floor 2
44	19946	19947	19948	19949	19950	19951	19952	19953	19954	19942	19943	19945	19755	19756	19757	19758	65536	Gargish Striped
45	20345	20340	20341	20342	20343	20336	20337	20338	20339	20332	20333	20334	20335	20329	20330	20331	65536	Gargish Blue Stripe
46	20706	20707	20708	20702	20703	20704	20705	20711	20712	20713	20714	20715	20716	20717	20718	20709	65536	Gargish Red
47	20723	20719	20720	20721	20722	20724	20725	20726	20727	0	0	0	0	0	0	0	65536	Gargish Dark
48	16815	16816	16817	16818	16821	16822	16823	16824	16825	16826	16827	16828	0	0	0	0	65536	Gargish Green
49	16884	16872	16873	16874	16875	16876	16877	16878	16879	16880	16881	16882	16883	16885	16886	16887	65536	Gargish Stone
50	16864	16860	16861	16862	16863	16865	16866	16867	16868	0	0	0	0	0	0	0	65536	Gargish Motif
51	16778	16774	16775	16776	16777	16779	16780	16781	16782	0	0	0	0	0	0	0	65536	Gargish Sun
52	16523	16524	16525	16526	16527	16528	16529	16530	16531	16532	16533	16534	16535	16536	16537	16538	65536	Gargish Green Stone
53	16514	16510	16511	16512	16513	16515	16516	16517	16518	16519	16520	16521	16522	0	0	0	65536	Gargish Green Stone 2
54	18124	18125	18126	18127	18326	18327	18328	18329	0	0	0	0	0	0	0	0	65536	Gargish Ruins
55	39629	39632	39635	39634	39633	39630	39627	39628	39631	39636	39637	39638	39817	39818	0	0	4194304	Jungle
56	39730	39733	39736	39735	39734	0	39728	0	39732	39738	0	0	0	0	0	0	4194304	Shadowguard
57	39897	39731	39898	39729	39899	0	39900	0	39737	39739	0	0	0	0	0	0	4194304	Shadowguard
