int	int	int	int	int	int	int	int	int	int	int	int	string
14	1	0	0	13582	13586	13592	13598	13604	0	0	0	Waterfalls 2
15	0	1062932	0	6425	6424	6419	6427	6426	6417	0	0	Bar 1
15	1	0	0	6429	6428	6416	6431	6430	6418	0	0	Bar 2
16	0	1061020	0	6173	6174	6175	6176	6177	6178	0	0	Teleporters 1
16	1	0	0	6179	6180	6181	6182	6183	6184	0	0	Teleporters 2
17	0	1074416	11722	11713	11714	12059	11711	0	11721	11712	128	elven whitewood arch
18	0	1074417	11188	11179	11180	12060	11177	0	11187	11178	128	heartwood arch
19	0	1074418	11214	11205	11206	12061	11203	0	11213	11204	128	kiawood arch
20	0	1074419	11575	11542	11543	12062	11540	0	11574	11541	128	tanglewood arch
21	0	1076716	0	13802	13803	13804	13814	13815	0	0	512	Miscellaneous Crystal Pieces
22	0	1076717	0	13838	13839	13840	13841	13983	13842	0	512	Miscellaneous Shadow Pieces
23	0	1112089	17166	17167	17363	17364	17170	17171	17367	17368	65536	Gargish Battlement 1
23	1	0	17168	17169	17365	17366	17162	17163	17345	17346	65536	Gargish Battlement 2
23	2	0	17160	17161	17359	17360	17164	17165	17218	17219	65536	Gargish Battlement 3
23	3	0	17232	17233	17371	17372	17234	17235	0	0	65536	Gargish Battlement 4
24	0	1112089	17188	17185	17186	17187	17189	17172	17173	17174	65536	Gargish Battlement 5
25	0	1112090	17212	17213	17214	17215	17216	17217	17177	0	65536	Dark Red Stone Arches
26	0	1060074	17319	17318	17369	17370	17321	17322	17325	17326	65536	Miscellaneous Roof Pieces 1
26	1	0	17340	17342	17343	17341	17338	17339	17337	17336	65536	Miscellaneous Roof Pieces 2
26	2	0	17320	17323	17324	17327	17221	17220	17222	17223	65536	Miscellaneous Roof Pieces 3
27	0	1112091	17278	17282	17286	17290	17294	17298	17302	17306	65536	Gargish Fountain 1
27	1	0	17310	17314	0	0	0	0	0	0	65536	Gargish Fountain 2
28	0	1112092	16800	16801	16803	16804	16809	16810	16811	16812	65536	Green Marble Arches
29	0	1112093	16754	16755	16752	16753	16756	16750	16751	0	65536	Blue Marble Arches
30	0	1112094	16714	16715	16716	16717	16727	16726	16728	16729	65536	Two-Tone Stone Archways
30	1	0	0	0	0	16746	16747	0	0	0	65536	Two-Tone Stone Archways
31	0	1112095	16672	16671	16673	16674	16667	16668	16669	16670	65536	Gold Stone Battlement
32	0	1112096	20771	20772	20773	20774	20728	20729	20731	20732	65536	Gargish Marble Arches
33	0	1112097	18401	18402	18403	18407	18408	18409	0	0	65536	Gargish Ruined Arches
34	0	1112098	18600	18601	18602	18603	18604	18605	0	0	65536	Gargish Stone Heads
35	0	1150613	0	30705	30706	30707	30708	30709	0	30710	524288	Board and Batten Arches
36	0	1150624	0	19248	19192	19261	19249	19198	0	0	262144	Gothic Arches
