int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
4	2	0	62	62	62	61	63	63	63	64	0	0	0	0	0	0	0	Grey Brick Half Walls
4	3	0	66	66	66	65	67	67	67	68	0	0	0	0	0	0	0	Grey Brick Quarter Walls
5	0	1060059	88	88	88	89	87	87	87	90	92	94	93	91	0	0	0	Light Brick Standard Walls
5	1	0	0	10656	10657	0	10659	10658	0	0	0	0	0	0	0	0	64	Light Brick Stained Glass Walls
5	2	0	95	95	95	97	96	96	96	98	0	0	0	0	0	0	0	Light Brick Half Walls
5	3	0	99	99	99	101	100	100	100	102	0	0	0	0	0	0	0	Light Brick Quarter Walls
5	4	0	105	105	105	107	106	106	106	108	0	0	0	0	0	0	0	Light Brick Roof Edging
6	0	1060060	444	444	440	438	439	445	445	441	0	452	453	0	0	0	0	Hide Standard Walls
6	1	0	446	450	448	0	449	451	447	441	0	454	455	0	0	0	0	Hide Alternative Walls
6	2	0	427	422	423	421	426	425	428	424	429	430	432	431	0	0	0	Woven Standard Walls
6	3	0	8539	8539	8539	8540	8538	8538	8538	419	0	0	0	0	0	0	0	Woven Short Walls
7	0	1060061	149	146	151	144	150	145	148	147	152	9460	9467	9466	9461	153	0	Log Standard Walls
7	1	0	159	156	161	154	160	155	158	157	0	0	0	0	0	0	0	Log Half Walls
8	0	1060062	552	552	552	550	551	551	551	553	0	0	0	0	0	0	0	Palisades Standard Walls
8	1	0	1072	1058	546	547	1057	545	545	553	0	0	0	0	0	0	0	Palisades Alternative Walls
8	2	0	1059	1059	1059	1061	1060	1060	1060	0	0	0	0	0	0	0	0	Palisades Roof Edging
9	0	1060063	249	249	249	248	250	250	250	251	252	9484	9491	9490	9485	253	0	Tan Marble Fancy Walls
9	1	0	255	255	255	254	256	256	256	257	258	9496	9503	9502	9497	259	0	Tan Marble Medium Walls
9	2	0	261	261	261	260	262	262	262	263	264	9508	9515	9514	9509	265	0	Tan Marble Plain Walls
9	3	0	267	267	267	266	268	268	268	269	0	0	0	0	0	0	0	Tan Marble Half Walls
9	4	0	271	271	271	270	272	272	272	273	0	0	0	0	0	0	0	Tan Marble Fancy Roof Edging
9	5	0	1091	1091	1091	1090	1092	1092	1092	1093	0	0	0	0	0	0	0	Tan Marble Medium Roof Edging
9	6	0	280	280	280	279	281	281	281	282	0	0	0	0	0	0	0	Tan Marble Plain Roof Edging
10	0	1060064	670	670	670	669	671	671	671	672	0	686	685	0	0	0	0	White Marble Fancy Walls
10	1	0	664	664	664	663	665	665	665	666	0	667	668	0	0	0	0	White Marble Medium Walls
10	2	0	658	658	658	657	659	659	659	660	661	9532	9941	9940	9533	662	0	White Marble Plain Walls
10	3	0	674	674	674	673	675	675	675	676	0	0	0	0	0	0	0	White Marble Half Walls
10	4	0	698	698	698	697	699	699	699	700	0	0	0	0	0	0	0	White Marble Fancy Roof Edging
10	5	0	1105	1105	1105	1104	1106	1106	1106	1107	0	0	0	0	0	0	0	White Marble Medium Roof Edging
10	6	0	694	694	694	693	695	695	695	696	0	0	0	0	0	0	0	White Marble Plain Roof Edging\
11	0	1060065	345	345	345	344	346	346	346	347	0	348	349	0	0	0	0	Sandstone Brick Fancy Walls
11	1	0	352	352	352	350	351	351	351	353	0	355	354	0	0	0	0	Sandstone Brick Plain Walls
11	2	0	357	357	357	356	358	358	358	359	0	0	0	0	0	0	0	Sandstone Brick Fancy Half Walls
11	3	0	362	362	362	360	361	361	361	363	0	0	0	0	0	0	0	Sandstone Brick Plain Half Walls
11	4	0	517	515	512	511	513	516	518	514	519	9519	9527	9526	9520	522	0	Sandstone and Plaster Standard Walls
12	0	1060066	598	598	598	597	599	599	599	601	0	0	0	0	0	0	0	Flat Stone Medium Walls
12	1	0	592	592	592	591	593	593	593	600	0	0	0	0	0	0	0	Flat Stone Plain Walls
12	2	0	595	595	595	594	596	596	596	602	0	0	0	0	0	0	0	Flat Stone Open Walls
12	3	0	589	589	589	588	590	590	590	603	0	0	0	0	0	0	0	Flat Stone Fancy Walls
13	0	1060067	968	968	968	967	969	969	969	970	0	990	991	0	0	0	0	Sandstone and Mortar Dark Walls
13	1	0	972	972	972	971	973	973	973	974	0	0	0	0	0	0	0	Sandstone and Mortar Light Walls
13	2	0	983	980	993	979	994	981	984	982	0	0	0	0	0	0	0	Sandstone and Mortar Multi Walls
13	3	0	983	980	993	992	994	981	984	982	0	0	0	0	0	0	0	Sandstone and Mortar Multi Walls
13	4	0	960	960	960	958	961	961	961	962	0	0	0	0	0	0	0	Sandstone and Mortar Multi Walls
13	5	0	976	976	976	975	977	977	977	978	0	0	0	0	0	0	0	Sandstone and Mortar Multi Walls
14	0	1060068	312	310	307	309	308	311	313	298	0	314	315	0	0	0	0	Wood and Plaster Plain Walls
14	1	0	312	310	307	306	308	311	313	298	0	0	0	0	0	0	0	Wood and Plaster Wood Trim Walls
14	2	0	302	310	296	295	297	311	303	298	0	0	0	0	0	0	0	Wood and Plaster Diagonal Beams 1
14	3	0	304	310	300	299	301	311	305	298	0	0	0	0	0	0	0	Wood and Plaster Diagonal Beams 2
14	4	0	336	336	336	332	334	334	334	298	0	342	343	0	0	0	0	Wood and Plaster Fancy Walls
14	5	0	338	338	338	335	339	339	339	298	0	340	341	0	0	0	0	Wood and Plaster Medium Walls
15	0	1060069	910	910	910	909	911	911	911	898	0	0	0	0	0	0	0	Damaged Plaster Plain Walls
15	1	0	912	915	907	914	908	916	913	898	0	0	0	0	0	0	0	Damaged Plaster Damaged Walls
15	2	0	912	915	907	906	908	916	913	898	0	0	0	0	0	0	0	Damaged Plaster Wood Trim Walls
15	3	0	902	915	896	895	897	916	903	898	0	0	0	0	0	0	0	Damaged Plaster Diagonal Beams 1
15	4	0	904	915	900	899	901	916	905	898	0	0	0	0	0	0	0	Damaged Plaster Diagonal Beams 2
16	0	1063365	9351	9351	9351	9349	9350	9350	9350	9354	0	0	0	0	0	0	64	Laquered Panel Standard Walls
16	1	0	9348	9348	9348	9346	9347	9347	9347	9353	0	0	0	0	0	0	64	Lacquered Panel Half Walls
16	2	0	9345	9345	9345	9343	9344	9344	9344	9352	0	0	0	0	0	0	64	Lacquered Panel Quarter Walls
17	0	1063366	10650	10650	10650	10653	10647	10647	10647	10644	0	0	0	0	0	0	64	Wood Panel Standard Walls
17	1	0	10649	10649	10649	10652	10646	10646	10646	10643	0	0	0	0	0	0	64	Wood Panel Half Walls
17	2	0	10648	10648	10648	10651	10645	10645	10645	10642	0	0	0	0	0	0	64	Wood Panel Quarter Walls
18	0	1063367	10015	10015	10015	10005	10012	10012	10012	10076	0	0	0	0	0	0	64	Paper Standard Walls
18	1	0	10014	10014	10014	10004	10011	10011	10011	10075	0	0	0	0	0	0	64	Paper Half Walls
18	2	0	10013	10013	10013	10003	10010	10010	10010	10074	0	0	0	0	0	0	64	Paper Quarter Walls
19	0	1063368	10082	10082	10082	10069	10079	10079	10079	10076	0	0	0	0	0	0	64	Lattice Standard Walls
19	1	0	10081	10081	10081	10068	10078	10078	10078	10075	0	0	0	0	0	0	64	Lattice Half Walls
19	2	0	10080	10080	10080	10067	10077	10077	10077	10074	0	0	0	0	0	0	64	Lattice Quarter Walls
20	0	1063369	10560	10560	10560	10554	10557	10557	10557	10563	0	0	0	0	0	0	64	Clay Standard Walls
20	1	0	10559	10559	10559	10553	10556	10556	10556	10562	0	0	0	0	0	0	64	Clay Half Walls
20	2	0	10558	10558	10558	10552	10555	10555	10555	10561	0	0	0	0	0	0	64	Clay Quarter Walls
21	0	1063370	10575	10575	10575	10566	10569	10569	10569	10572	0	0	0	0	0	0	64	Weathered Clay Standard Walls
21	1	0	10574	10574	10574	10565	10568	10568	10568	10571	0	0	0	0	0	0	64	Weathered Clay Half Walls
21	2	0	10573	10573	10573	10564	10567	10567	10567	10570	0	0	0	0	0	0	64	Weathered Clay Quarter Walls
22	0	1063371	10581	10581	10581	10584	10578	10578	10578	10587	0	0	0	0	0	0	64	Limestone Standard Walls
22	1	0	10580	10580	10580	10583	10577	10577	10577	10586	0	0	0	0	0	0	64	Limestone Half Walls
22	2	0	10579	10579	10579	10582	10576	10576	10576	10585	0	0	0	0	0	0	64	Limestone Quarter Walls
23	0	1063372	10745	10743	10740	10742	10741	10744	10746	10731	0	10747	10748	0	0	0	64	Dark Plaster Standard Walls
23	1	0	10745	10743	10740	10739	10741	10744	10746	10731	0	10747	10748	0	0	0	64	Dark Plaster Standard Walls 2
23	2	0	10735	10729	10729	10728	10730	10736	10736	10731	0	0	0	0	0	0	64	Dark Plaster Standard Walls 3
23	3	0	10737	10733	10733	10732	10734	10738	10738	10731	0	0	0	0	0	0	64	Dark Plaster Standard Walls 4
23	4	0	0	10726	10722	10721	10723	10727	0	10724	0	0	0	0	0	0	64	Dark Plaster Standard Quarter Walls
24	0	1063373	9367	9367	9367	9365	9366	9366	9366	9368	0	0	0	0	0	0	64	Cherrywood Standard Walls
24	1	0	9363	9363	9363	9361	9362	9362	9362	9364	0	0	0	0	0	0	64	Cherrywood Half Walls
24	2	0	9359	9359	9359	9357	9358	9358	9358	9360	0	0	0	0	0	0	64	Cherrywood Quarter Walls
25	0	1063374	9373	9378	9373	10800	9374	9377	9374	10806	0	0	0	0	0	0	64	Plaster Standard Walls - Light
25	1	0	9373	9384	9373	10803	9374	9383	9374	10809	0	0	0	0	0	0	64	Plaster Standard Walls - Dark
25	2	0	9371	9380	9371	10801	9372	9379	9372	10807	0	0	0	0	0	0	64	Plaster Half Walls - Light
25	3	0	9371	9386	9371	10804	9372	9385	9372	10810	0	0	0	0	0	0	64	Plaster Half Walls - Dark
25	4	0	9382	9382	9376	10802	9375	9381	9381	10808	0	0	0	0	0	0	64	Plaster Quarter Walls
26	0	1074416	11132	11132	11132	11717	11131	11131	11131	11720	0	0	0	0	0	0	128	light Plaster Elf Wall 1
26	1	0	11133	11133	11136	11136	11134	11135	11135	11720	0	0	0	0	0	0	128	light Plaster Elf Wall 1
26	2	0	11130	11130	11130	11716	11729	11729	11729	11719	0	0	0	0	0	0	128	light Plaster Elf Wall 1
26	3	0	11728	11728	11728	11715	11727	11727	11727	11718	0	0	0	0	0	0	128	light Plaster Elf Wall 1
27	0	1074417	11198	11198	11198	11183	11197	11197	11197	11186	0	0	0	0	0	0	128	Dark Plaster Elf Wall 2
27	1	0	11200	11200	11202	11202	11201	11201	11199	11199	0	0	0	0	0	0	128	Dark Plaster Elf Wall 2
27	2	0	11196	11196	11196	11182	11195	11195	11195	11185	0	0	0	0	0	0	128	Dark Plaster Elf Wall 2
27	3	0	11194	11194	11194	11181	11193	11193	11193	11184	0	0	0	0	0	0	128	Dark Plaster Elf Wall 2
28	0	1074418	11508	11508	11508	11211	11507	11507	11507	11212	0	0	0	0	0	0	128	Plaster Elf Wall 3
28	1	0	11510	11510	11512	11512	11511	11511	11509	11509	0	0	0	0	0	0	128	Plaster Elf Wall 3
28	2	0	11506	11506	11506	11209	11505	11505	11505	11210	0	0	0	0	0	0	128	Plaster Elf Wall 3
28	3	0	11504	11504	11504	11207	11503	11503	11503	11208	0	0	0	0	0	0	128	Plaster Elf Wall 3
29	0	1074419	11585	11585	11585	11546	11584	11584	11584	11549	0	0	0	0	0	0	128	Carved Wood 1
29	1	0	11587	11587	11589	11589	11588	11588	11586	11586	0	0	0	0	0	0	128	Carved Wood 1
29	2	0	11583	11583	11583	11545	11582	11582	11582	11548	0	0	0	0	0	0	128	Carved Wood 1
29	3	0	11581	11581	11581	11544	11580	11580	11580	11547	0	0	0	0	0	0	128	Carved Wood 1
30	0	1076720	13795	13796	13796	13785	13794	13794	13793	13788	13798	13798	13797	13797	0	0	512	Crystal Walls 1
30	1	0	13792	13792	13792	13784	13791	13791	13791	13787	0	0	0	0	0	0	512	Crystal Walls 2
30	2	0	13790	13790	13790	13783	13789	13789	13789	13786	0	0	0	0	0	0	512	Crystal Walls 3
31	0	1076721	13883	13897	13895	13846	13896	13898	13882	13849	13885	13885	13884	13884	0	0	512	Shadow Walls 1
31	1	0	13881	13881	13881	13845	13880	13880	13880	13848	0	0	0	0	0	0	512	Shadow Walls 2
31	2	0	13879	13879	13879	13844	13878	13878	13878	13847	0	0	0	0	0	0	512	Shadow Walls 3
31	3	0	0	0	0	13843	0	0	0	0	0	0	0	0	0	0	512	Shadow Walls 3
32	0	1112080	17229	17228	17226	17190	17227	17224	17225	17191	0	0	0	0	0	0	65536	Gargish Wall Set 1
32	1	0	17354	17355	17358	17356	17357	0	0	0	0	0	0	0	0	0	65536	Gargish Wall Set 1
33	0	1112080	17230	17231	17178	17180	17232	17233	17183	17181	0	0	0	0	0	0	65536	Gargish Wall Set 2
33	1	0	17182	17179	0	0	0	0	0	0	0	0	0	0	0	0	65536	Gargish Wall Set 2
34	0	1112080	17240	17237	17239	17238	17241	17236	0	0	0	0	0	0	0	0	65536	Gargish Windows 3
35	0	1112082	16790	16791	16805	16785	16784	16786	16787	16796	16788	16789	0	0	0	0	65536	Gargish Green Marble 1
35	1	0	16797	16799	16806	16807	16808	16792	16793	16794	0	0	0	0	0	0	65536	Gargish Green Marble 2
35	2	0	16795	16798	0	0	0	0	0	0	0	0	0	0	0	0	65536	Gargish Green Marble 3
36	0	1112083	16720	16721	16724	16725	16730	16722	16723	16733	16736	16737	0	0	0	0	65536	Gargish Two-Tone Stone Walls 
36	1	0	16731	16738	16739	16734	16718	16719	16732	16735	0	0	0	0	0	0	65536	Gargish Two-tone Stone Half Walls
36	2	0	16742	16743	16744	16745	0	0	0	0	0	0	0	0	0	0	65536	Gargish Two-tone Stone Half Walls
37	0	1112084	16664	16665	16666	16675	16660	16661	16662	16663	0	0	0	0	0	0	65536	Gargish Gold Stone Walls 1
37	1	0	16676	16677	16678	16679	0	0	0	0	0	0	0	0	0	0	65536	Gargish Gold Stone Walls 2
38	0	1112086	20787	20786	20800	20781	20795	20796	20782	20783	20799	20801	20754	20735	0	0	65536	Gargish Red Marble Walls 1
38	1	0	20734	20738	20753	20757	20736	20737	20755	20756	0	0	0	0	0	0	65536	Gargish Red Marble Walls 2
38	2	0	20741	20742	20743	20744	20745	20746	20739	20758	0	0	0	0	0	0	65536	Gargish Red Marble Walls 3
38	3	0	0	20733	20747	20748	20749	20750	20752	0	0	0	0	0	0	0	65536	Gargish Red Marble Walls 4
38	4	0	20760	20761	20762	20763	20764	20765	20766	20767	0	0	0	0	0	0	65536	Gargish Red Marble Walls 5
38	5	0	20768	20769	0	0	0	0	0	0	0	0	0	0	0	0	65536	Gargish Red Marble Walls 6
39	0	1112085	20751	20759	20778	20775	20794	20797	20798	20784	0	0	0	0	0	0	65536	Gargish Marble Walls 1
39	1	0	20785	20698	20699	20700	20701	20791	20792	20793	0	0	0	0	0	0	65536	Gargish Marble Walls 2
39	2	0	20788	20789	20790	20780	20779	0	0	0	0	0	0	0	0	0	65536	Gargish Marble Tiles 2
40	0	1112087	18139	18138	18136	18140	18304	18305	18306	18307	0	0	0	0	0	0	65536	Gargish Ruined Walls 1
40	1	0	18308	18310	18313	18314	18315	18316	18317	18318	0	0	0	0	0	0	65536	Gargish Ruined Walls 2
40	2	0	18309	18311	18312	18302	18303	18201	18202	18204	0	0	0	0	0	0	65536	Gargish Ruined Walls 3
40	3	0	18205	18206	18207	18208	0	18129	18130	18131	0	0	0	0	0	0	65536	Gargish Ruined Walls 4
40	4	0	18132	18133	18134	18135	18110	18111	18112	18113	0	0	0	0	0	0	65536	Gargish Ruined Walls 4
40	5	0	18114	18115	18116	18117	18118	18122	18123	18120	0	0	0	0	0	0	65536	Gargish Ruined Walls 4
41	0	1112088	16761	16760	16759	16756	16763	16762	16765	16766	16757	16758	0	0	0	0	65536	Gargish Blue Marble Walls
41	1	0	16764	16767	16768	16769	16770	16771	16772	16773	0	0	0	0	0	0	65536	Gargish Blue Marble Half Walls
41	2	0	16751	16750	16748	16749	0	0	0	0	0	0	0	0	0	0	65536	Gargish Blue Marble Half Walls 2
42	0	1112080	17184	17349	17350	17347	17348	17351	17352	17353	0	0	0	0	0	0	65536	Gargish Wall Set 3
43	0	1150629	19246	19189	19190	19213	19196	19195	19247	19214	0	19191	19197	0	0	0	262144	Gothic Walls 1
43	1	0	19255	19254	19193	19209	19199	19253	19211	19210	0	0	0	0	0	0	262144	Gothic Walls 2
43	2	0	19259	19257	19194	19208	19200	19260	19256	19206	0	0	0	0	0	0	262144	Gothic Walls 3
43	3	0	0	19258	19243	19212	19245	0	19215	19244	0	0	0	0	0	0	262144	Gothic Walls 4
43	4	0	0	19216	19217	19218	19219	19220	19221	0	0	0	0	0	0	0	262144	Rose Window 1
43	5	0	0	19222	19223	19224	19225	19226	19227	0	0	0	0	0	0	0	262144	Rose Window 2
44	0	1150630	0	30694	30724	30700	30723	30697	0	30710	0	30703	30704	0	0	0	524288	Board and Batten Walls 1
44	1	0	0	30695	30726	30701	30725	30698	0	30711	0	0	0	0	0	0	524288	Board and Batten Walls 2
44	2	0	0	30696	30737	30702	30736	30699	0	30712	0	0	0	0	0	0	524288	Board and Batten Walls 3
45	0	1156115	39601	39604	39606	39600	39602	39605	39607	39603	39608	0	39609	0	0	0	4194304	Jungle Walls
45	1	0	39611	0	0	39610	39612	0	0	39613	0	0	0	0	0	0	4194304	Jungle Walls
45	2	0	39615	0	0	39614	39616	0	0	39617	0	0	0	0	0	0	4194304	Jungle Walls
45	3	0	39623	0	0	39625	39624	0	0	39626	0	0	0	0	0	0	4194304	Jungle Walls
46	0	1156116	39702	0	0	39701	39703	0	0	39704	39709	0	39710	0	0	0	4194304	Shadowguard Walls
46	1	0	39705	0	0	39707	39706	0	0	39892	0	0	0	0	0	0	4194304	Shadowguard Walls
46	2	0	0	39807	0	39806	0	39808	0	39809	0	0	0	0	0	0	4194304	Shadowguard Walls
46	3	0	39716	0	0	39715	39717	0	0	39718	0	0	0	0	0	0	4194304	Shadowguard Walls
46	4	0	0	39712	0	39711	0	39713	0	39714	0	0	0	0	0	0	4194304	Shadowguard Walls
46	5	0	39889	0	0	39888	39890	0	0	39891	0	0	0	0	0	0	4194304	Shadowguard Walls
46	6	0	39724	0	0	39726	39725	0	0	39727	0	0	0	0	0	0	4194304	Shadowguard Walls
